iter	Passed	Remaining
634	12442	7151
635	12461	7132
636	12481	7112
637	12500	7093
638	12520	7073
639	12539	7053
640	12560	7034
641	12579	7014
642	12598	6994
643	12617	6975
644	12637	6955
645	12656	6935
646	12675	6915
647	12694	6895
648	12712	6875
649	12732	6855
650	12753	6836
651	12774	6818
652	12793	6798
653	12813	6779
654	12833	6759
655	12852	6739
656	12872	6720
657	12892	6700
658	12910	6680
659	12930	6661
660	12950	6641
661	12969	6621
662	12988	6602
663	13008	6582
664	13028	6563
665	13048	6543
666	13069	6525
667	13089	6505
668	13109	6486
669	13128	6466
670	13148	6446
671	13167	6426
672	13187	6407
673	13206	6387
674	13225	6368
675	13245	6348
676	13264	6328
677	13284	6309
678	13304	6289
679	13324	6270
680	13343	6250
681	13363	6230
682	13383	6211
683	13402	6191
684	13421	6172
685	13441	6152
686	13461	6132
687	13480	6113
688	13499	6093
689	13520	6074
690	13539	6054
691	13558	6034
692	13577	6014
693	13596	5995
694	13616	5975
695	13635	5955
696	13654	5936
697	13673	5916
698	13693	5896
699	13713	5877
700	13734	5858
701	13753	5838
702	13773	5819
703	13801	5802
704	13822	5783
705	13842	5764
706	13861	5744
707	13880	5724
708	13899	5705
709	13918	5684
710	13937	5665
711	13957	5645
712	13978	5626
713	13998	5607
714	14019	5588
715	14038	5568
716	14057	5548
717	14077	5528
718	14097	5509
719	14117	5489
720	14137	5470
721	14156	5450
722	14175	5431
723	14195	5411
724	14214	5391
725	14234	5372
726	14254	5352
727	14274	5333
728	14293	5313
729	14313	5293
730	14332	5274
731	14352	5254
732	14371	5234
733	14391	5215
734	14410	5195
735	14429	5175
736	14449	5156
737	14470	5137
738	14489	5117
739	14509	5097
740	14528	5078
741	14547	5058
742	14567	5038
743	14587	5019
744	14608	5000
745	14627	4980
746	14647	4960
747	14667	4941
748	14686	4921
749	14706	4902
750	14726	4882
751	14745	4862
752	14765	4843
753	14785	4824
754	14806	4804
755	14825	4784
756	14846	4765
757	14866	4746
758	14885	4726
759	14904	4706
760	14924	4687
761	14942	4667
762	14961	4647
763	14982	4628
764	15001	4608
765	15021	4588
766	15040	4569
767	15060	4549
768	15080	4529
769	15101	4510
770	15120	4491
771	15140	4471
772	15159	4451
773	15180	4432
774	15199	4412
775	15218	4392
776	15237	4373
777	15256	4353
778	15275	4333
779	15295	4314
780	15315	4294
781	15334	4274
782	15354	4255
783	15373	4235
784	15392	4215
785	15411	4196
786	15432	4176
787	15451	4156
788	15471	4137
789	15490	4117
790	15510	4098
791	15529	4078
792	15548	4058
793	15568	4039
794	15588	4019
795	15608	4000
796	15628	3980
797	15648	3961
798	15667	3941
799	15688	3922
800	15706	3902
801	15726	3882
802	15745	3862
803	15764	3843
804	15783	3823
805	15803	3803
806	15822	3784
807	15841	3764
808	15860	3744
809	15880	3725
810	15900	3705
811	15919	3685
812	15939	3666
813	15958	3646
814	15978	3627
815	15998	3607
816	16017	3587
817	16036	3568
818	16056	3548
819	16076	3528
820	16096	3509
821	16114	3489
822	16135	3470
823	16154	3450
824	16173	3430
825	16193	3411
826	16212	3391
827	16232	3371
828	16251	3352
829	16270	3332
830	16288	3312
831	16308	3293
832	16328	3273
833	16348	3254
834	16367	3234
835	16387	3214
836	16406	3194
837	16425	3175
838	16445	3155
839	16464	3136
840	16483	3116
841	16502	3096
842	16522	3077
843	16540	3057
844	16560	3037
845	16581	3018
846	16601	2998
847	16620	2979
848	16640	2959
849	16659	2939
850	16678	2920
851	16697	2900
852	16717	2880
853	16735	2861
854	16755	2841
855	16775	2822
856	16794	2802
857	16814	2782
858	16835	2763
859	16854	2743
860	16873	2724
861	16893	2704
862	16912	2684
863	16932	2665
864	16951	2645
865	16971	2626
866	16989	2606
867	17009	2586
868	17029	2567
869	17048	2547
870	17067	2527
871	17089	2508
872	17108	2488
873	17127	2469
874	17147	2449
875	17166	2429
876	17185	2410
877	17202	2390
878	17223	2370
879	17242	2351
880	17262	2331
881	17281	2311
882	17300	2292
883	17319	2272
884	17339	2253
885	17358	2233
886	17377	2213
887	17397	2194
888	17417	2174
889	17436	2155
890	17454	2135
891	17474	2115
892	17493	2096
893	17512	2076
894	17532	2056
895	17552	2037
896	17571	2017
897	17591	1998
898	17610	1978
899	17629	1958
900	17648	1939
901	17668	1919
902	17688	1900
903	17707	1880
904	17728	1861
905	17747	1841
906	17766	1821
907	17786	1802
908	17806	1782
909	17824	1762
910	17844	1743
911	17863	1723
912	17882	1704
913	17901	1684
914	17920	1664
915	17938	1645
916	17957	1625
917	17977	1605
918	17996	1586
919	18015	1566
920	18034	1546
921	18053	1527
922	18071	1507
923	18091	1488
924	18110	1468
925	18129	1448
926	18148	1429
927	18167	1409
928	18187	1389
929	18206	1370
930	18226	1350
931	18246	1331
932	18266	1311
933	18285	1292
934	18305	1272
935	18324	1252
936	18343	1233
937	18363	1213
938	18382	1194
939	18402	1174
940	18422	1155
941	18442	1135
942	18461	1115
943	18480	1096
944	18501	1076
945	18521	1057
946	18540	1037
947	18560	1018
948	18579	998
949	18599	978
950	18618	959
951	18637	939
952	18656	920
953	18676	900
954	18695	880
955	18713	861
956	18732	841
957	18752	822
958	18771	802
959	18789	782
960	18810	763
961	18829	743
962	18849	724
963	18868	704
964	18888	685
965	18907	665
966	18927	645
967	18946	626
968	18965	606
969	18984	587
970	19003	567
971	19022	547
972	19041	528
973	19061	508
974	19080	489
975	19098	469
976	19117	450
977	19137	430
978	19156	410
979	19175	391
980	19194	371
981	19213	352
982	19232	332
983	19252	313
984	19271	293
985	19290	273
986	19310	254
987	19330	234
988	19350	215
989	19368	195
990	19390	176
991	19408	156
992	19428	136
993	19449	117
994	19468	97
995	19487	78
996	19507	58
997	19527	39
998	19546	19
999	19566	0
